id,title,price,base_price,original_price,initial_quantity,buying_mode,listing_type_id,condition,accepts_mercadopago,shipping_mode,local_pick_up,free_shipping,logistic_type,store_pick_up,city_name,state_name,country_name,status,warranty,date_created,last_updated,health
MLA1816353336,Onn Full Hd Streaming Google Tv 2023 8gb 1.5 Gb Ram,52800,52800,,57,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,San Cristobal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2024-06-19T19:47:43.712Z,2024-10-16T12:07:29.845Z,0.9
MLA1453365954, Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 32gb Negro,699997,699997,,7,buy_it_now,gold_special,new,True,me2,False,True,drop_off,False,Tandil,Buenos Aires,Argentina,active,Garantía del vendedor: 6 meses,2023-07-19T19:46:46.000Z,2024-10-03T18:40:34.969Z,
MLA1364551668,Parlante Inteligente Google Home Mini  Youtube Usado Gris,58990,58990,,5,buy_it_now,gold_pro,used,True,me2,False,False,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-03-06T16:20:18.000Z,2024-09-25T15:41:16.641Z,0.88
MLA1616759000,Google Home Google Assistant Asistente Virtual Refabricado,154990,154990,,999,buy_it_now,gold_pro,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2024-01-02T14:27:00.000Z,2024-10-14T12:14:43.531Z,0.9
MLA1897422330,Tv Box Kanji Smarter 4k Plus 2gb Ram 16 Gb Rom Usb Hdmi Color Negro Tipo De Control Remoto Estándar,72682.0,72682.0,,13,buy_it_now,gold_pro,new,True,me2,True,True,cross_docking,False,Monte Castro,Capital Federal,Argentina,active,Garantía de fábrica: 6 meses,2024-08-30T13:35:27.865Z,2024-10-16T01:08:26.244Z,
MLA1166759149,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,208999,208999,,8,buy_it_now,gold_pro,new,True,me2,True,True,cross_docking,False,Córdoba,Córdoba,Argentina,active,Garantía de fábrica: 12 meses,2022-09-12T14:17:09.000Z,2024-10-15T21:29:08.099Z,
MLA1799086010,Apple Tv A1469 Estándar 3.ª Generación Rev. A Full Hd 8gb,150000,150000,,1,buy_it_now,gold_special,used,True,me2,False,True,xd_drop_off,False,Palermo Hollywood,Capital Federal,Argentina,active,,2024-06-05T16:22:53.300Z,2024-09-02T15:46:31.942Z,0.75
MLA1286445386,"Amazon Fire Tv Stick 4k 8gb Hdr Dolby Control Voz 1,5gb Ram ",110599,110599,,52,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,CHACARITA,Capital Federal,Argentina,active,Garantía de fábrica: 6 meses,2022-12-20T19:13:56.000Z,2024-10-14T12:08:05.985Z,1
MLA1449934847,Watch Onn Google Tv Box 4k Control Voz Wifi,69999,69999,,99,buy_it_now,gold_special,new,True,me2,False,True,xd_drop_off,False,Caba,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2024-09-13T16:08:53.819Z,2024-10-16T14:29:53.555Z,0.88
MLA1391504537,Amazon Fire Tv Stick Lite 2da Gen Streaming Full Hd 8gb,85999,85999,,31,buy_it_now,gold_special,new,True,me2,False,True,cross_docking,False,Barracas,Capital Federal,Argentina,active,Garantía de fábrica: 6 meses,2023-10-06T18:34:17.000Z,2024-10-16T03:15:34.459Z,0.9
